filename,width,height,channels,file_size_mb
Oil (139).png,1920,1080,3,0.024412155151367188
Oil (140).png,1920,1080,3,0.02086925506591797
Oil (141).png,1920,1080,3,0.014834403991699219
Oil (143).png,1920,1080,3,0.022064208984375
Oil (147).png,1920,1080,3,0.019575119018554688
Oil (149).png,1920,1080,3,0.019181251525878906
Oil (15).png,1920,1080,3,0.01781463623046875
Oil (150).png,1920,1080,3,0.018367767333984375
Oil (151).png,1920,1080,3,0.018312454223632812
Oil (152).png,1920,1080,3,0.018828392028808594
Oil (153).png,1920,1080,3,0.01941204071044922
Oil (154).png,1920,1080,3,0.020476341247558594
Oil (156).png,1920,1080,3,0.020723342895507812
Oil (157).png,1920,1080,3,0.021642684936523438
Oil (158).png,1920,1080,3,0.02216339111328125
Oil (16).png,1920,1080,3,0.01785755157470703
Oil (160).png,1920,1080,3,0.022070884704589844
Oil (163).png,1920,1080,3,0.020488739013671875
Oil (168).png,1920,1080,3,0.021343231201171875
Oil (169).png,1920,1080,3,0.01936054229736328
Oil (17).png,1920,1080,3,0.017620086669921875
Oil (170).png,1920,1080,3,0.017683029174804688
Oil (172).png,1920,1080,3,0.017310142517089844
Oil (173).png,1920,1080,3,0.016242027282714844
Oil (174).png,1920,1080,3,0.01772022247314453
Oil (178).png,1920,1080,3,0.018746376037597656
Oil (18).png,1920,1080,3,0.016645431518554688
Oil (180).png,1920,1080,3,0.017938613891601562
Oil (181).png,1920,1080,3,0.018768310546875
Oil (183).png,1920,1080,3,0.01867198944091797
Oil (188).png,1920,1080,3,0.015225410461425781
Oil (189).png,1920,1080,3,0.014552116394042969
Oil (19).png,1920,1080,3,0.01743316650390625
Oil (190).png,1920,1080,3,0.014912605285644531
Oil (191).png,1920,1080,3,0.015573501586914062
Oil (192).png,1920,1080,3,0.01678180694580078
Oil (193).png,1920,1080,3,0.01756763458251953
Oil (196).png,1920,1080,3,0.012750625610351562
Oil (197).png,1920,1080,3,0.012728691101074219
Oil (199).png,1920,1080,3,0.022220611572265625
Oil (20).png,1920,1080,3,0.017896652221679688
Oil (201).png,1920,1080,3,0.022100448608398438
Oil (202).png,1920,1080,3,0.020974159240722656
Oil (204).png,1920,1080,3,0.020864486694335938
