filename,width,height,channels,file_size_mb
Oil (178).jpg,1920,1080,3,0.8269729614257812
Oil (18).jpg,1920,1080,3,0.867609977722168
Oil (180).jpg,1920,1080,3,0.8033533096313477
Oil (181).jpg,1920,1080,3,0.8150768280029297
Oil (183).jpg,1920,1080,3,0.7899923324584961
Oil (188).jpg,1920,1080,3,0.4925985336303711
Oil (189).jpg,1920,1080,3,0.4914827346801758
Oil (19).jpg,1920,1080,3,0.85546875
Oil (190).jpg,1920,1080,3,0.4857158660888672
Oil (191).jpg,1920,1080,3,0.4917726516723633
Oil (192).jpg,1920,1080,3,0.4874153137207031
Oil (193).jpg,1920,1080,3,0.47826099395751953
Oil (196).jpg,1920,1080,3,0.3334617614746094
Oil (197).jpg,1920,1080,3,0.44933032989501953
Oil (199).jpg,1920,1080,3,0.6840715408325195
Oil (20).jpg,1920,1080,3,0.8272056579589844
Oil (201).jpg,1920,1080,3,0.6719779968261719
Oil (202).jpg,1920,1080,3,0.6665725708007812
Oil (204).jpg,1920,1080,3,0.606684684753418
Oil (205).jpg,1920,1080,3,0.8368072509765625
Oil (206).jpg,1920,1080,3,0.8441534042358398
Oil (207).jpg,1920,1080,3,0.6902399063110352
Oil (208).jpg,1920,1080,3,0.6845064163208008
Oil (209).jpg,1920,1080,3,0.844752311706543
Oil (211).jpg,1920,1080,3,0.9012975692749023
Oil (212).jpg,1920,1080,3,0.764348030090332
Oil (213).jpg,1920,1080,3,0.754481315612793
Oil (214).jpg,1920,1080,3,0.9668188095092773
Oil (215).jpg,1920,1080,3,0.9827613830566406
Oil (216).jpg,1920,1080,3,0.77923583984375
Oil (217).jpg,1920,1080,3,0.7691593170166016
Oil (219).jpg,1920,1080,3,0.7874526977539062
Oil (22).jpg,1920,1080,3,0.8438587188720703
Oil (220).jpg,1920,1080,3,0.7904167175292969
Oil (221).jpg,1920,1080,3,0.7992305755615234
Oil (222).jpg,1920,1080,3,0.8204307556152344
Oil (223).jpg,1920,1080,3,0.8067502975463867
Oil (225).jpg,1920,1080,3,0.7233057022094727
Oil (226).jpg,1920,1080,3,0.6911897659301758
Oil (227).jpg,1920,1080,3,0.653925895690918
Oil (228).jpg,1920,1080,3,0.6616249084472656
Oil (23).jpg,1920,1080,3,0.8519916534423828
Oil (230).jpg,1920,1080,3,0.6949214935302734
Oil (232).jpg,1920,1080,3,0.7382535934448242
